file_path,line,tag,attribute,url,domain
"pages/tvs/qled-tv/index.php","7591","a","href","http://csr.samsung.com/en/main.do","csr.samsung.com"
"pages/tvs/qled-tv/q7f-55-inch-qled-4k-smart-tv-qa55q7faausmm/index.php","15271","a","href","http://csr.samsung.com/en/main.do","csr.samsung.com"
"pages/tvs/uhd-4k-tv/du7000-65-inch-crystal-uhd-4k-tizen-os-smart-tv-ua65du7000uswk/index.php","12530","a","href","http://csr.samsung.com/en/main.do","csr.samsung.com"
"pages/tvs/vision-ai-tv/index.php","4925","a","href","http://csr.samsung.com/en/main.do","csr.samsung.com"
"pages/washers-and-dryers/all-washers-and-dryers/index.php","7749","a","href","http://csr.samsung.com/en/main.do","csr.samsung.com"
"pages/washers-and-dryers/washing-machines/wa5000c-top-load-ecobubble-digital-inverter-technology-super-speed-15kg-dark-gray-wa15ck5745bdrt/index.php","9692","a","href","http://csr.samsung.com/en/main.do","csr.samsung.com"
"pages/washers-and-dryers/washing-machines/ww5000d-front-loading-smartthings-ai-energy-mode-a-10-percent-extra-energy-efficiency-ai-ecobubble-9kg-black-ww90dg5u34abfa/index.php","10968","a","href","http://csr.samsung.com/en/main.do","csr.samsung.com"
"pages/watches/all-watches/index.php","6170","a","href","http://csr.samsung.com/en/main.do","csr.samsung.com"
"pages/watches/galaxy-watch/galaxy-watch8-44mm-silver-bluetooth-sm-l330nzsamea/index.php","12993","a","href","http://csr.samsung.com/en/main.do","csr.samsung.com"
"previous-index.php","12077","unknown","href","http://csr.samsung.com/en/main.do","csr.samsung.com"
"pages/sustainability/environment/index.php","6616","a","href","http://elkolekt.mk","elkolekt.mk"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-new-my-products.min.fc9e383796c173ec83b06b88b5d66ebc.js","19287","js","string-literal","http://freegeoip.net/json/?callback=?","freegeoip.net"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-new-my-products.min.fc9e383796c173ec83b06b88b5d66ebc.js","23705","js","string-literal","http://freegeoip.net/json/?callback=?","freegeoip.net"
"assets/js/compact.min.17aa94c4570ed8766d25d29ab2375424.js","464","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"assets/js/compact.min.4588d7bda43caaf85f0c158235005d8d.js","350","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"assets/js/compact.min.5a2129c8dd6126b7ecf1aab3b433a303.js","868","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"assets/js/compact.min.abefc3eb13223fd0577b59dadaf0925a.js","236","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"assets/js/compact.min.cea4f33d48d44e41b50d26e59a3f111d.js","573","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"assets/js/compact.min.f139926faf82c04da28fdb463d89b6d7.js","131","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"assets/js/compact.min.f9785abe9843ed557cc7fa896e9559b5.js","127","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"assets/js/compactComps.min.a4fcb958d47383551ff5361be2053312.js","92","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"assets/js/compactComps.min.e89e41f25bb78693631f56ee37f10ab9.js","92","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"assets/js/compactComps.min.eb1c9c877165f145075857c72510046c.js","72","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"assets/js/page-bc-pd.min.dcf3f6b63e7432e523ea17a5263c48f9.js","1906","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"assets/js/site.min.1436a664034c71725df6c178cc0f05c1.js","44","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-bc-pd/page-bc-pd.min.dcf3f6b63e7432e523ea17a5263c48f9.js","1906","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-buying-pd/compactComps.min.eb1c9c877165f145075857c72510046c.js","72","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-feature-pd/compactComps.min.a4fcb958d47383551ff5361be2053312.js","92","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-flagship/compact.min.abefc3eb13223fd0577b59dadaf0925a.js","236","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-marketing/compact.min.17aa94c4570ed8766d25d29ab2375424.js","464","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-pcd/compact.min.4588d7bda43caaf85f0c158235005d8d.js","350","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
"etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-pf-ux2/compact.min.cea4f33d48d44e41b50d26e59a3f111d.js","573","js","string-literal","http://freegeoip.net/json/?callback\x3d?","freegeoip.net"
